account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,yoy_growth_pct,remake_rate_pct
CHEBAR,3763.0,0.0,2565.0,0.0,3,-100.0,0.0
ADACAR,3761.2,0.0,0.0,0.0,7,0.0,0.0
THONAS,3760.95,0.0,0.0,0.0,7,0.0,0.0
TYSMON,3751.0,0.0,0.0,0.0,5,0.0,0.0
JACZAC,3748.33,0.0,0.0,0.0,7,0.0,0.0
ZAUELICC,3744.81,0.0,0.0,0.0,5,0.0,0.0
NAPSTEAU,3741.25,0.0,0.0,0.0,4,0.0,0.0
ESCKEV,3740.15,0.0,0.0,0.0,5,0.0,0.0
BEIROS,3732.91,0.0,0.0,0.0,6,0.0,0.0
LEMSTE,3725.0,0.0,3725.0,0.0,2,-100.0,0.0
MEYTHO,3721.5,0.0,0.0,0.0,5,0.0,0.0
KATELL,3721.3,0.0,0.0,0.0,6,0.0,0.0
SANROB,3715.42,0.0,0.0,0.0,6,0.0,0.0
BJOPAUBG,3704.0,0.0,0.0,0.0,3,0.0,0.0
HARJOH,3704.0,0.0,0.0,0.0,2,0.0,0.0
CHASYD,3703.5,0.0,0.0,0.0,6,0.0,0.0
OZTERR,3702.5,0.0,0.0,0.0,3,0.0,0.0
ESPSTEWM,3700.78,665.89,1385.94,0.0,6,-52.0,0.0
DOLMAR,3690.13,0.0,0.0,0.0,5,0.0,0.0
SODCHA,3687.2200000000003,0.0,0.0,0.0,4,0.0,0.0
ROSANT,3676.91,0.0,0.0,0.0,3,0.0,0.0
BRIMATT,3676.75,0.0,0.0,0.0,4,0.0,0.0
NICLOR,3674.5,0.0,0.0,0.0,3,0.0,0.0
SCHLUK,3673.98,0.0,0.0,0.0,3,0.0,0.0
HAMMAT,3672.04,0.0,0.0,0.0,6,0.0,0.0
GERBIL,3667.5,0.0,0.0,0.0,3,0.0,0.0
JANUPACR,3664.98,835.0,2829.98,0.0,4,-70.5,0.0
TURBEN,3663.99,0.0,0.0,0.0,4,0.0,0.0
BROJAS,3654.99,0.0,0.0,0.0,2,0.0,0.0
BLIROG,3654.0,0.0,0.0,0.0,2,0.0,0.0
GOEDUS,3649.54,0.0,0.0,0.0,6,0.0,0.0
GEORAC,3645.75,0.0,0.0,0.0,6,0.0,0.0
FLIMIC,3645.0,0.0,0.0,0.0,2,0.0,0.0
TINWEI,3638.9700000000003,0.0,0.0,0.0,5,0.0,0.0
BAPJOS,3628.49,798.0,1665.0,0.0,8,-52.1,0.0
WATASHMU,3627.94,1659.0,322.99,0.0,4,413.6,0.0
PULERI,3626.98,0.0,0.0,0.0,7,0.0,0.0
OLEKEV,3624.0,0.0,0.0,0.0,3,0.0,0.0
BARRAY,3623.85,0.0,0.0,0.0,5,0.0,0.0
MARAUSNP,3613.72,0.0,0.0,0.0,5,0.0,0.0
VANSTE,3612.5,0.0,0.0,0.0,3,0.0,0.0
WILTAL,3600.0,0.0,0.0,0.0,2,0.0,0.0
STOCHR,3599.99,0.0,0.0,0.0,3,0.0,0.0
SHASOB,3594.9700000000003,0.0,0.0,0.0,5,0.0,0.0
DALGRE,3584.5,0.0,0.0,0.0,3,0.0,0.0
BALALE,3582.65,0.0,0.0,0.0,5,0.0,0.0
FICROB,3582.5,0.0,0.0,0.0,5,0.0,0.0
KATCHR,3577.5,0.0,0.0,0.0,3,0.0,0.0
ARIGIO,3564.92,0.0,3564.92,0.0,5,-100.0,0.0
SIMWIL,3563.98,0.0,0.0,0.0,7,0.0,0.0
KONLYN,3561.14,0.0,0.0,0.0,7,0.0,0.0
PIEPAT,3558.11,0.0,0.0,0.0,4,0.0,0.0
JACDAN,3558.0,0.0,0.0,0.0,4,0.0,0.0
BERROB,3548.98,0.0,513.98,0.0,5,-100.0,0.0
SOLLUK,3548.96,6.99,2701.99,0.0,4,-99.7,0.0
BICBRAWILM,3545.75,0.0,0.0,0.0,4,0.0,0.0
MUSSHA,3535.95,0.0,0.0,0.0,4,0.0,0.0
FRACARD,3532.4,0.0,0.0,0.0,7,0.0,0.0
HOAEMITP,3529.66,282.98,849.38,275.99,4,-66.7,97.53
ROSMEL,3517.49,0.0,0.0,0.0,5,0.0,0.0
ERCBRYEG,3510.2,0.0,0.0,0.0,4,0.0,0.0
SIRNAT,3504.81,0.0,0.0,0.0,6,0.0,0.0
KAPJOR,3503.0,0.0,0.0,0.0,3,0.0,0.0
BRUMIC,3499.95,0.0,0.0,0.0,4,0.0,0.0
CHAPAU,3495.5,0.0,0.0,0.0,4,0.0,0.0
SILJEN,3488.0,399.0,1813.0,0.0,1,-78.0,0.0
SHELAU,3485.5,0.0,0.0,0.0,3,0.0,0.0
YANTAILAZ,3484.5,0.0,0.0,0.0,3,0.0,0.0
GERKEN,3482.5,0.0,0.0,0.0,3,0.0,0.0
JUDKEI,3481.7799999999997,0.0,0.0,0.0,6,0.0,0.0
WARJUD,3481.4300000000003,166.98000000000002,500.94000000000005,0.0,6,-66.7,0.0
PALGAR,3479.0,0.0,0.0,0.0,5,0.0,0.0
BOTKEY,3473.48,0.0,0.0,0.0,5,0.0,0.0
LAMPRO,3468.32,0.0,0.0,0.0,3,0.0,0.0
WEBFM,3454.25,0.0,0.0,0.0,5,0.0,0.0
JAIGUNOL,3440.99,0.0,0.0,0.0,7,0.0,0.0
KINKEV,3440.0,0.0,0.0,0.0,4,0.0,0.0
PAUVAL,3437.0,0.0,0.0,0.0,5,0.0,0.0
COLCHA,3422.0,0.0,0.0,0.0,5,0.0,0.0
CHOYOUHOM,3417.91,0.0,0.0,0.0,4,0.0,0.0
RODDAL,3409.38,0.0,0.0,0.0,4,0.0,0.0
