account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,ly_prorated,yoy_growth_pct,remake_rate_pct,cum_ltd,cum_pct
GERGRE,82743.06,7445.12,12061.17,0.0,4,5025.49,48.1,0.0,30507652.46000001,0.7189682995622853
ZBOANN,81852.85,6648.85,11990.31,0.0,6,4995.96,33.1,0.0,30589505.31000001,0.720897310798269
BAHMAN,81585.6,248.23000000000002,0.0,0.0,8,0.0,0.0,0.0,30671090.91000001,0.722820023802086
DANBRI,80705.89,1901.99,1150.84,0.0,8,479.52,296.6,0.0,30751796.800000012,0.7247220048402547
PLAROB,79110.45999999999,3438.6400000000003,2307.31,0.0,8,961.38,257.7,0.0,30830907.260000013,0.7265863866696455
MORCHR,76445.83,5548.14,14417.69,116.97999999999999,8,6007.37,-7.6,2.11,30907353.09000001,0.7283879716482271
SUDAMINAP,75897.48,2544.94,6961.92,0.0,7,2900.8,-12.3,0.0,30983250.57000001,0.730176633762043
RANMAR,75121.09,3029.7400000000002,7793.92,239.98,8,3247.47,-6.7,7.92,31058371.66000001,0.7319469988338682
LEBRAF,74274.16,5456.97,25413.56,0.0,8,10588.98,-48.5,0.0,31132645.82000001,0.733697404460346
LOUSERNV,73723.31999999999,0.0,13476.74,0.0,7,5615.31,-100.0,0.0,31206369.14000001,0.7354348285406808
KOSERI,73046.01999999999,2832.85,3390.84,159.99,3,1412.85,100.5,5.65,31279415.16000001,0.7371562908150413
SLAMICHOM,72548.58,1215.89,4689.99,0.0,8,1954.16,-37.8,0.0,31351963.74000001,0.738866030011351
GANPOO,72147.89,6457.65,15962.630000000001,0.0,7,6651.1,-2.9,0.0,31424111.63000001,0.740566326219272
BACOLG,71450.28,893.98,0.0,0.0,7,0.0,0.0,0.0,31495561.91000001,0.7422501819791408
KNEMIC,69368.39,0.0,1525.96,0.0,6,635.82,-100.0,0.0,31564930.300000012,0.7438849742158449
MATJOSLOW,69358.16,572.0,1085.98,0.0,8,452.49,26.4,0.0,31634288.460000012,0.7455195253639987
BECJAM,68279.86,404.23,448.96000000000004,0.0,7,187.07,116.1,0.0,31702568.32000001,0.7471286644120758
GALPET,67002.72,5747.5,8950.42,195.24,7,3729.34,54.1,3.4,31769571.04000001,0.7487077053339432
SUKMAJ,64743.99,3129.77,6981.47,105.99,8,2908.95,7.6,3.39,31834315.03000001,0.7502335151765133
COHADA,64562.3,623.0,50643.75,78.0,8,21101.56,-97.0,12.52,31898877.33000001,0.7517550431638826
ATTALA,64091.5,0.0,808.4000000000001,0.0,8,336.83,-100.0,0.0,31962968.83000001,0.7532654758932384
NICJEF,63787.75,17841.37,44113.89,1057.24,7,18380.79,-2.9,5.93,32026756.58000001,0.7547687502015628
PATSHIBV,62908.04000000001,2108.8,12275.3,0.0,7,5114.71,-58.8,0.0,32089664.62000001,0.7562512925442388
BAPBENNR,62589.72,5893.92,12843.81,567.99,8,5351.59,10.1,9.64,32152254.340000007,0.757726333097342
SULKHAFL,62336.31,22608.0,39728.31,504.0,9,16553.46,36.6,2.23,32214590.650000006,0.7591954015830424
GUDCHR,62111.84,0.0,228.23000000000002,0.0,7,95.1,-100.0,0.0,32276702.490000006,0.7606591800250591
LINVIN,61924.24,3419.83,7615.92,0.0,8,3173.3,7.8,0.0,32338626.730000004,0.7621185373319794
LAWSTE,61174.66,247.48000000000002,8583.02,0.0,8,3576.26,-93.1,0.0,32399801.390000004,0.7635602294233053
VYAHARMO,60235.53,0.0,9143.93,0.0,7,3809.97,-100.0,0.0,32460036.920000006,0.764979789208645
SOOANUHE,60133.18,13236.27,25146.88,1227.8799999999999,8,10477.87,26.3,9.28,32520170.100000005,0.7663969369301407
WEITHO,60030.14,2670.88,377.99,504.98,8,157.5,1595.8,18.91,32580200.240000006,0.767811656326688
KOSFAY,59781.67,99.99,0.0,0.0,8,0.0,0.0,0.0,32639981.910000008,0.7692205200759145
PATAME,59772.780000000006,6219.360000000001,10410.02,0.0,7,4337.51,43.4,0.0,32699754.69000001,0.7706291743161271
MCBGRE,59721.09,0.0,387.23,0.0,5,161.35,-100.0,0.0,32759475.78000001,0.7720366103875064
PATBIN,59288.78,208.99,130.0,0.0,7,54.17,285.8,0.0,32818764.56000001,0.773433858287705
PARKRURO,58611.16,0.0,15592.42,0.0,7,6496.84,-100.0,0.0,32877375.72000001,0.7748151368405475
DELDAV,58572.35999999999,2096.8,6975.67,0.0,4,2906.53,-27.9,0.0,32935948.08000001,0.7761955010008434
DOUJASVA,58370.75,8851.47,17476.37,512.94,6,7281.82,21.6,5.79,32994318.83000001,0.7775711138549201
PAPAMI,57730.57,5359.62,8744.72,0.0,6,3643.63,47.1,0.0,33052049.40000001,0.7789316397033144
GARLIN,57252.07,2498.1,5032.34,179.0,6,2096.81,19.1,7.17,33109301.47000001,0.7802808888291949
DABHAZMAN,57102.270000000004,1549.8400000000001,2473.01,0.0,6,1030.42,50.4,0.0,33166403.74000001,0.7816266076457073
SLAMICDYE,56776.46,1221.96,4695.91,0.0,8,1956.63,-37.5,0.0,33223180.20000001,0.7829646481571787
PAPATH,56068.29,0.0,6665.629999999999,0.0,8,2777.35,-100.0,0.0,33279248.49000001,0.7842859993549975
PARCAR,55897.75,1498.0,5504.96,0.0,7,2293.73,-34.7,0.0,33335146.24000001,0.7856033314676388
NORIRS,55136.62,0.0,593.09,0.0,8,247.12,-100.0,0.0,33390282.86000001,0.7869027261679354
THADEVJOL,55130.97,718.95,3530.91,0.0,9,1471.21,-51.1,0.0,33445413.83000001,0.788201987715709
BREKEV,54976.54,0.0,3029.05,0.0,8,1262.1,-100.0,0.0,33500390.37000001,0.7894976098397463
HANEMIMUN,54677.369999999995,1936.95,28501.61,1178.98,7,11875.67,-83.7,60.87,33555067.74000001,0.7907861814787795
MENMAR,54616.58,490.33000000000004,857.07,0.0,8,357.11,37.3,0.0,33609684.32000001,0.7920733204909337
VYAHAR,54119.69,0.0,7038.139999999999,0.0,7,2932.56,-100.0,0.0,33663804.010000005,0.7933487493867871
SEFDAV,53750.19,2996.99,16337.9,0.0,7,6807.46,-56.0,0.0,33717554.2,0.7946154703433116
CANJOH,53409.11,0.0,228.23000000000002,0.0,8,95.1,-100.0,0.0,33770963.31,0.7958741531294807
CHUMAN,53279.68,7720.76,23109.65,166.0,7,9629.02,-19.8,2.15,33824242.99,0.7971297856623689
SYLCOLBL,53233.9,9861.050000000001,24752.08,222.97,7,10313.37,-4.4,2.26,33877476.89,0.7983843393063195
MASJOH,52770.97,1322.89,2356.79,629.95,7,982.0,34.7,47.62,33930247.86,0.7996279831631156
AHMSAN,52720.81,14988.55,27873.45,0.0,8,11613.94,29.1,0.0,33982968.67,0.8008704449083104
