account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,ly_prorated,yoy_growth_pct,remake_rate_pct
PERMIC,57094.38,0.0,0.0,0.0,8,0.0,0.0,0.0
DARDAV,56886.75,0.0,0.0,0.0,9,0.0,0.0,0.0
SLAMICDYE,56776.46,1221.96,4695.91,0.0,8,1956.63,-37.5,0.0
FALROB,56693.44,0.0,0.0,0.0,8,0.0,0.0,0.0
TARJOA,56627.07,0.0,0.0,0.0,8,0.0,0.0,0.0
CARMAR,56531.99,0.0,0.0,0.0,7,0.0,0.0,0.0
CHAROBWR,56179.49,0.0,0.0,0.0,7,0.0,0.0,0.0
QAHLENPLA,56172.17,0.0,0.0,0.0,8,0.0,0.0,0.0
PAPATH,56068.29,0.0,6665.629999999999,0.0,8,2777.35,-100.0,0.0
PARCAR,55897.75,1498.0,5504.96,0.0,7,2293.73,-34.7,0.0
CAHJAMIN,55754.02,0.0,0.0,0.0,6,0.0,0.0,0.0
GUZCHE,55711.31,0.0,0.0,0.0,8,0.0,0.0,0.0
QUEFARNV,55655.08,0.0,0.0,0.0,8,0.0,0.0,0.0
MANJON,55442.7,0.0,0.0,0.0,7,0.0,0.0,0.0
