account_id,ytd_implant_sales,ly_implant_sales,ytd_implant_remakes
SANJAM,0.0,0.0,0.0
SCHCAR,0.0,0.0,0.0
SCHFRE,0.0,0.0,0.0
SIMTAD,0.0,1813.0,0.0
SINJAS,0.0,0.0,0.0
SINPRA,0.0,0.0,0.0
SISJOH,0.0,0.0,0.0
SIVINT,0.0,0.0,0.0
SIVSAS,0.0,0.0,0.0
SKIEMI,0.0,0.0,0.0
SKOTHO,0.0,0.0,0.0
SKOTHOELB,0.0,0.0,0.0
SKUSAMCH,0.0,0.0,0.0
SLAMICCS,0.0,0.0,0.0
SLAMICDYE,0.0,0.0,0.0
SLAMICHOM,0.0,0.0,0.0
SLAMICJOL,0.0,661.1,0.0
SMATIF,0.0,0.0,0.0
SMIAJD1,0.0,0.0,0.0
SMIAJSCH,0.0,0.0,0.0
SOLJOS,0.0,0.0,0.0
SONBRIWIL,0.0,0.0,0.0
SONYOU,0.0,0.0,0.0
SPAKAT,0.0,0.0,0.0
SPEELI,0.0,0.0,0.0
SPIKIM,0.0,0.0,0.0
SPRTOD,0.0,0.0,0.0
SINAMAOAK,0.0,0.0,0.0
SIGREI,0.0,0.0,0.0
SCHJAS,0.0,0.0,0.0
SIGMUN,0.0,0.0,0.0
SCHKEV,0.0,0.0,0.0
SCHMIC,0.0,0.0,0.0
SCOBEN,0.0,0.0,0.0
SEDENTAL,0.0,0.0,0.0
SEERAN,0.0,475.0,0.0
SEERANNV,0.0,0.0,0.0
SEHSTE,0.0,98.0,0.0
SEKKAT,0.0,0.0,0.0
SEMCAR,0.0,0.0,0.0
SENMIC,0.0,0.0,0.0
SHAANK,0.0,0.0,0.0
SHAATI,0.0,98.0,0.0
SHADEV,0.0,0.0,0.0
SHADHALA,0.0,3488.0,0.0
SHADHARV,0.0,0.0,0.0
SHANIK,0.0,0.0,0.0
SHASYE,0.0,0.0,0.0
SHECAR,0.0,0.0,0.0
SHEGEN,0.0,0.0,0.0
SHEMICH,0.0,0.0,0.0
SHOFRA,0.0,0.0,0.0
SHUGLEBG,0.0,0.0,0.0
SIESTEOL,0.0,0.0,0.0
LOUSERNV,0.0,0.0,0.0
LEVSHICH,0.0,0.0,0.0
LOPEST,0.0,0.0,0.0
DELMARNAP,0.0,0.0,0.0
DAMRAY,0.0,0.0,0.0
DARDAVSB,0.0,0.0,0.0
DARKAR,0.0,0.0,0.0
DDT,0.0,0.0,0.0
DEAALA,0.0,0.0,0.0
DEAROB,0.0,0.0,0.0
DEATER,0.0,0.0,0.0
DECGEO,0.0,0.0,0.0
DEGJEA,0.0,0.0,0.0
DELANN,0.0,0.0,0.0
DELDER,0.0,0.0,0.0
DERJAM,0.0,0.0,0.0
DROSEA,0.0,0.0,0.0
DESAMI,0.0,0.0,0.0
DEWGLESG,0.0,0.0,0.0
DEWGLEWR,0.0,0.0,0.0
DICANT,0.0,57.2,0.0
DICANTOB,0.0,0.0,0.0
DISNIC,0.0,0.0,0.0
DOHANT,0.0,0.0,0.0
DOMEDW,0.0,0.0,0.0
DORCHR,0.0,0.0,0.0
DPS,0.0,0.0,0.0
DREMATNV,0.0,0.0,0.0
DALNIC,0.0,0.0,0.0
DAHJEF,0.0,0.0,0.0
DACSTE,0.0,0.0,0.0
DABTOU,0.0,294.0,0.0
CHRGIN,0.0,0.0,0.0
CHUMAN,0.0,206.0,0.0
CIAANN,0.0,0.0,0.0
CICBRY,0.0,0.0,0.0
CIEDAV,0.0,0.0,0.0
CLEGARB,0.0,0.0,0.0
COFJER,0.0,1050.0,0.0
COLBER,0.0,0.0,0.0
COLKRI,0.0,0.0,0.0
CONDEA,0.0,0.0,0.0
CONGEO,0.0,0.0,0.0
CONTBRBUR,0.0,0.0,0.0
COOPET,0.0,0.0,0.0
CORJER,0.0,0.0,0.0
CORKAT,0.0,0.0,0.0
COUEMI,0.0,0.0,0.0
COXVIK,0.0,0.0,0.0
COZNANLG1,0.0,0.0,0.0
CRATHO,0.0,0.0,0.0
CREJASTP,0.0,41.6,0.0
CUBTOD,0.0,0.0,0.0
CURDAV,0.0,0.0,0.0
CZEBOH,0.0,0.0,0.0
DROMIC,0.0,0.0,0.0
DUFROB,0.0,0.0,0.0
CHOIRBBRI,0.0,0.0,0.0
FRASUS,0.0,0.0,0.0
FOLDAN,0.0,0.0,0.0
FONJEN,0.0,0.0,0.0
FORALAWHE,0.0,0.0,0.0
FORCHI,0.0,0.0,0.0
FORDANELM,0.0,0.0,0.0
FORLAU,0.0,172.15,0.0
FOSERI,0.0,0.0,0.0
FRACAR,0.0,0.0,0.0
FRAJOH,0.0,0.0,0.0
FRAMIC,0.0,0.0,0.0
FRASCO,0.0,0.0,0.0
FRASUSIT,0.0,369.0,0.0
DURAUG,0.0,0.0,0.0
FRATER,0.0,738.0,0.0
FREKAT,0.0,0.0,0.0
FRETYS,0.0,0.0,0.0
FRIMEL,0.0,0.0,0.0
FUGSTEIND,0.0,0.0,0.0
FULDAV,0.0,0.0,0.0
FULJAM,0.0,0.0,0.0
FUNROB,0.0,0.0,0.0
FUTGEO,0.0,0.0,0.0
GAFCOL,0.0,0.0,0.0
GAFMEG,0.0,279.5,0.0
FLYKAR,0.0,0.0,0.0
FLYDON,0.0,0.0,0.0
FLESCO,0.0,0.0,0.0
FLEPAT,0.0,0.0,0.0
DYMMICGL,0.0,0.0,0.0
DYOKIM,0.0,0.0,0.0
EARAND,0.0,0.0,0.0
EARWIL,0.0,0.0,0.0
EBEMEG,0.0,0.0,0.0
EBERIC,0.0,0.0,0.0
ELKHAL,0.0,0.0,0.0
ENAHOR,0.0,0.0,0.0
ENGARL,0.0,0.0,0.0
ERINOR,0.0,0.0,0.0
FALROB,0.0,0.0,0.0
FARFRA,0.0,0.0,0.0
FARYAS,0.0,166.4,0.0
FAUJOH,0.0,0.0,0.0
FAVJOS,0.0,0.0,0.0
FELAMY,0.0,0.0,0.0
FICUMB,0.0,0.0,0.0
FIDPHI,0.0,0.0,0.0
FIEJAM,0.0,2053.7,0.0
FIJPHI,0.0,0.0,0.0
FILPAU,0.0,0.0,0.0
FISJOH,0.0,0.0,0.0
FITROB,0.0,0.0,0.0
CHOKRI,0.0,0.0,0.0
CHEKAI,0.0,0.0,0.0
LOGSCO,0.0,0.0,0.0
BALSAM,0.0,0.0,0.0
ASCDAV,0.0,0.0,0.0
ATABAN,0.0,0.0,0.0
ATHJOH,0.0,0.0,0.0
ATTALA,0.0,0.0,0.0
AZIHAM,0.0,0.0,0.0
BACOLG,0.0,0.0,0.0
BACPETSB,0.0,0.0,0.0
BADATT,0.0,0.0,0.0
BAHMAN,0.0,0.0,0.0
BAKRUS,0.0,0.0,0.0
BALJOS,0.0,600.0,0.0
BALSAMWH,0.0,0.0,0.0
BEHBRICHI,0.0,0.0,0.0
BALSTE,0.0,0.0,0.0
BANROH,0.0,0.0,0.0
BANSTE,0.0,388.0,0.0
BAPBEN,0.0,0.0,0.0
BARDEN,0.0,0.0,0.0
BARKEV,0.0,0.0,0.0
BARMEEAR,0.0,0.0,0.0
BASMAR,0.0,0.0,0.0
BATGAR,0.0,0.0,0.0
BAUBRY,0.0,0.0,0.0
BECDEN,0.0,0.0,0.0
ARRJOS,0.0,0.0,0.0
ARNIVAMP,0.0,0.0,0.0
ARNIVA,0.0,0.0,0.0
ARIGIO,0.0,344.0,0.0
ACIALA,0.0,0.0,0.0
ACIMIC,0.0,0.0,0.0
ADAAMMHOM,0.0,0.0,0.0
ADATHOAH,0.0,0.0,0.0
ADHRUA,0.0,0.0,0.0
ADS,0.0,0.0,0.0
AKHJOS,0.0,0.0,0.0
ALBMONWA,0.0,0.0,0.0
ALERAU,0.0,0.0,0.0
ALGSHAVH,0.0,0.0,0.0
ALSDIN,0.0,0.0,0.0
ALSEMA,0.0,1900.0,0.0
ALSSUR,0.0,0.0,0.0
AMEDAV,0.0,0.0,0.0
ANDBRE,0.0,0.0,0.0
ANDDOU,0.0,0.0,0.0
ANDKRI,0.0,0.0,0.0
ANDKRICP,0.0,0.0,0.0
ANDSCO,0.0,0.0,0.0
ANGLEOCP1,0.0,0.0,0.0
ANSASICH,0.0,0.0,0.0
APTJAS,0.0,0.0,0.0
ARCEJOHN,0.0,0.0,0.0
BEEALL,0.0,0.0,0.0
BEIROS,0.0,0.0,0.0
CHEJAS,0.0,0.0,0.0
CAMWESHP,0.0,0.0,0.0
BRERIC,0.0,1552.0,0.0
BROCAR,0.0,0.0,0.0
BRONAT,0.0,0.0,0.0
BROTHO,0.0,0.0,0.0
BRYKER,0.0,0.0,0.0
BRZDANI,0.0,0.0,0.0
BURJON,0.0,0.0,0.0
BURSUS,0.0,0.0,0.0
CABSUS,0.0,0.0,0.0
CAHJAMIN,0.0,0.0,0.0
CAMWES,0.0,0.0,0.0
CANMIC,0.0,0.0,0.0
BELMAT,0.0,0.0,0.0
CANMICD1,0.0,0.0,0.0
CANMICMON,0.0,0.0,0.0
CARMAR,0.0,0.0,0.0
CARMATFL,0.0,0.0,0.0
CARPAT,0.0,0.0,0.0
CASGRA,0.0,0.0,0.0
CASLEN,0.0,24.99,0.0
CENJAN,0.0,0.0,0.0
CERGAI,0.0,0.0,0.0
CHANHWA,0.0,1107.0,0.0
CHEBAR,0.0,0.0,0.0
BRATHE,0.0,0.0,0.0
BRACHA,0.0,0.0,0.0
BOVJOHW,0.0,0.0,0.0
BOUMEL,0.0,0.0,0.0
BELTHO,0.0,0.0,0.0
BENKAT,0.0,450.0,0.0
BENMIC,0.0,0.0,0.0
BENVALPH,0.0,0.0,0.0
BERJOS,0.0,39.99,0.0
BERNIC,0.0,0.0,0.0
BERROB,0.0,0.0,0.0
BHAKAR,0.0,272.0,0.0
BHONIS,0.0,0.0,0.0
BISROB,0.0,0.0,0.0
BJOPAKU,0.0,0.0,0.0
BLABRE,0.0,0.0,0.0
BLADEB,0.0,0.0,0.0
BLAMAR,0.0,0.0,0.0
BLAMAT,0.0,0.0,0.0
BLENOW,0.0,0.0,0.0
BOCJER,0.0,0.0,0.0
BOGMIH,0.0,0.0,0.0
BOIPRIVH,0.0,0.0,0.0
BOLDEA,0.0,0.0,0.0
BORDAV,0.0,0.0,0.0
BORMAR,0.0,0.0,0.0
BOSREB,0.0,0.0,0.0
GALROB,0.0,0.0,0.0
GAMBRI,0.0,0.0,0.0
GARALP,0.0,0.0,0.0
KOCJEN,0.0,0.0,0.0
KENMARHL,0.0,0.0,0.0
KHAFAI,0.0,0.0,0.0
KHASAB,0.0,0.0,0.0
KHASABMP,0.0,0.0,0.0
KHASHO,0.0,0.0,0.0
KHASUM,0.0,0.0,0.0
KILJEF,0.0,0.0,0.0
KIMJON,0.0,0.0,0.0
KLEERIC,0.0,0.0,0.0
KMADAN,0.0,204.0,0.0
KMADANMUN,0.0,0.0,0.0
KOGJAM,0.0,0.0,0.0
KOSMICCHI,0.0,0.0,0.0
KOHKON,0.0,0.0,0.0
KOLANNCHI,0.0,0.0,0.0
KOLMAR,0.0,0.0,0.0
KOLMARFF,0.0,0.0,0.0
KORKEN,0.0,0.0,0.0
KORMIK,0.0,778.0,789.98
KORNAT,0.0,0.0,0.0
KOSDEN,0.0,0.0,0.0
KOSEWAMP,0.0,0.0,0.0
KOSFAY,0.0,0.0,0.0
KOSJOH,0.0,0.0,0.0
KENKAT,0.0,0.0,0.0
KEEBAR,0.0,0.0,0.0
KEAMICEL,0.0,0.0,0.0
KAVLAN,0.0,0.0,0.0
JOYALEJO,0.0,350.0,0.0
JUEDAV,0.0,0.0,0.0
JUMESAHL,0.0,0.0,0.0
JUNALE,0.0,0.0,0.0
KAKJAM,0.0,0.0,0.0
KAKMON,0.0,0.0,0.0
KAMFAR,0.0,0.0,0.0
KAMTIMIN,0.0,0.0,0.0
KANWOO,0.0,0.0,0.0
