account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,yoy_growth_pct,remake_rate_pct,cum_ltd,cum_pct
MALRYA,258233.23,18375.85,42621.659999999996,1911.0,7,-56.9,10.4,17843744.160000008,0.21364761722313638
PRODON,256256.16,2921.17,8329.45,311.98,8,-64.9,10.68,18100000.320000008,0.21671583639798198
HAMWIL,256066.58000000002,0.0,0.0,0.0,9,0.0,0.0,18356066.900000006,0.21978178568401327
KASMIK,253213.21,1619.94,10608.55,0.0,8,-84.7,0.0,18609280.110000007,0.22281357085649928
LUCPAULYO,252690.36,6567.63,18994.68,427.99,9,-65.4,6.52,18861970.470000006,0.2258390958150042
FILPAU,250976.9,0.0,0.0,0.0,8,0.0,0.0,19112947.370000005,0.2288441050878478
IZZKAR,247613.05,0.0,0.0,0.0,8,0.0,0.0,19360560.420000006,0.2318088381422727
POTCHR,243358.03,5731.95,24628.1,82.99,7,-76.7,1.45,19603918.450000007,0.23472262477670386
GAFMEG,243053.09,10057.02,38407.12,346.99,8,-73.8,3.45,19846971.540000007,0.2376327602881525
SKOTHO,242387.76,0.0,0.0,0.0,8,0.0,0.0,20089359.30000001,0.24053492963690054
LITALY,242358.06,4193.75,11255.96,0.0,8,-62.7,0.0,20331717.360000007,0.24343674338011112
DESAMI,239126.32,0.0,0.0,0.0,8,0.0,0.0,20570843.680000007,0.24629986269101573
WEYKIM,237920.18,0.0,0.0,0.0,7,0.0,0.0,20808763.860000007,0.2491485405856611
LUKPAU,237598.82,11491.9,28108.890000000003,1712.8300000000002,8,-59.1,14.9,21046362.680000007,0.25199337075655215
LEZBEA,236187.67,4103.98,14877.470000000001,586.95,8,-72.4,14.3,21282550.35000001,0.2548213048751158
OCOJOH,232468.97,0.0,0.0,0.0,8,0.0,0.0,21515019.320000008,0.25760471406734986
FUGSTEIND,230750.83,0.0,859.46,0.0,8,-100.0,0.0,21745770.150000006,0.2603675515391106
WATJOH,230631.37,0.0,0.0,0.0,8,0.0,0.0,21976401.520000007,0.26312895868637654
FUNROB,228517.13,0.0,0.0,0.0,8,0.0,0.0,22204918.650000006,0.2658650515086785
YIANIC,226808.68,8873.31,25801.379999999997,377.99,7,-65.6,4.26,22431727.330000006,0.26858068863130385
SAFTAR,224883.18,3310.64,9432.02,0.0,8,-64.9,0.0,22656610.510000005,0.27127327126024925
POSSHA,222497.49,0.0,0.0,0.0,8,0.0,0.0,22879108.000000004,0.2739372894254048
THOJAM,221706.41999999998,10738.49,27645.61,483.0,9,-61.2,4.5,23100814.420000006,0.27659183591135217
BOLDEA,221497.46,0.0,0.0,0.0,9,0.0,0.0,23322311.880000006,0.2792438804668922
SAMJACSTC,220927.69999999998,17661.4,56828.39,1784.96,9,-68.9,10.11,23543239.580000006,0.28188910314327403
